gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Agbl5,4.105333333,2.17579901,22.57066667,5.754374886,2.206915499,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Ric1,0.665666667,1.152968488,8.082,0.599260377,2.446910319,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Rgcc,237.0923333,98.98511795,608.626,60.11900062,1.356403268,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Mbl1,13.66666667,4.041451884,30,3.605551275,1.079727192,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Cep112,3.943666667,6.830631035,41.48666667,3.35982951,3.103356784,FALSE,FALSE,high_in_SCFA,0,0,TRUE
1700067K01Rik,0,0,7,1.732050808,3,TRUE,FALSE,SCFA_specific_medium,0.001,0,TRUE
Pakap,3.019666667,3.113933258,43.19,14.47733166,3.458572156,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Zdhhc3,0,0,2.390333333,0.816992248,1.761427124,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Atm,0,0,3.964333333,1.202354496,2.311599989,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Kat2a,18.31866667,31.72886139,108.176,15.93181637,2.498588315,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Vwa3a,0,0,2.011333333,0.460819198,1.590402413,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Txnip,677.092,208.0149778,1845.322,517.9890671,1.445101253,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Lilr4b,0.647333333,1.121214223,10.624,2.245285951,2.818902193,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Vps39,0,0,184.4723333,59.7418403,7.535060188,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Lrrc47,15.95466667,7.835034163,34.73066667,3.950834384,1.075480411,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
E4f1,98.552,37.48359017,241.5453333,54.46246475,1.284732217,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Cipc,0,0,85.616,22.94537792,6.436561644,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Spink2,0,0,4.203333333,1.499514032,2.379436131,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Zscan21,0,0,1.828333333,0.79858959,1.499952159,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Gnpda2,0,0,2.313333333,0.594362123,1.728283351,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Usp47,89.639,59.2258042,440.12,76.61393234,2.282967323,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Tnrc18,0,0,1.968,0.859094291,1.569491092,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Lig3,6.132666667,10.62209025,72.198,6.81017408,3.359290772,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Tomm5,0,0,1.363333333,0.588608812,1.240823127,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Psip1,0,0,8.462333333,2.673008106,3.242195984,TRUE,FALSE,SCFA_specific_medium,0.001,0,TRUE
Sorbs3,594.5586667,169.2619063,1206.324333,47.10983915,1.019497755,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Grk3,0.940333333,0.822086573,5.971666667,0.670674536,1.845199075,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Prom1,25.18733333,7.57312857,87.321,11.03224306,1.75388735,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Shank3,0,0,4.931,1.759405581,2.568275372,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Vgll4,0,0,4.002333333,0.85018841,2.322601196,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Tead4,4.588333333,3.973840502,37.965,5.816889461,2.801688834,FALSE,FALSE,high_in_SCFA,0,0,TRUE
Fez1,0,0,1.415333333,0.580856551,1.272222305,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Igsf23,0,0,4.103666667,1.158982456,2.351534106,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Txnip,1261.423667,144.0061799,2611.098,179.4039367,1.049012868,FALSE,FALSE,non_specific,0,0,TRUE
Tnfaip8l3,3,0,7.333333333,1.527525232,1.058893689,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Tex9,0,0,27.76,6.585485859,4.845991771,TRUE,FALSE,SCFA_specific_high,0.0001,0,TRUE
Gramd1a,0,0,1.674666667,0.676551057,1.419359105,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Pms2,0,0,14.87066667,5.54128905,3.988290826,TRUE,FALSE,SCFA_specific_medium,0.001,0,TRUE
Cdipt,0,0,2.726666667,0.89002603,1.897885782,TRUE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
